M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
2,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
4,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
8,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
48,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
80,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
96,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
112,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
144,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
160,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
176,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
192,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
208,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
224,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
240,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
288,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
320,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
352,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
384,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
416,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
448,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
480,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
544,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
576,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
608,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
640,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
672,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
704,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
736,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
768,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
800,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
832,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
864,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
896,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
928,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
960,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
992,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1088,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1152,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1216,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1280,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1344,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1408,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1472,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1536,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1600,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1664,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1728,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1792,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1856,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1920,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1984,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
2048,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
6144,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
8192,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
10240,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
12288,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
14336,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
16384,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
32768,64,7168,False,torch.bfloat16,torch.bfloat16,False,False
1,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
2,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
4,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
96,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
144,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
160,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
192,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
208,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
288,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
352,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
384,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
416,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
480,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
544,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
576,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
608,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
640,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
672,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
704,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
736,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
768,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
800,384,7168,False,torch.bfloat16,torch.bfloat16,False,False
