M,N,K
1,2304,16384
16,2304,16384
32,2304,16384
64,2304,16384
128,2304,16384
160,2304,16384
192,2304,16384
256,2304,16384
288,2304,16384 
384,2304,16384 
512,2304,16384 
640,2304,16384  
768,2304,16384 
1024,2304,16384
1152,2304,16384

1536,2304,16384
1600,2304,16384

2048,2304,16384
2880,2304,16384
3200,2304,16384
4096,2304,16384
8192,2304,16384
16384,2304,16384
32768,2304,16384

1,4608,16384
16,4608,16384
32,4608,16384
64,4608,16384
128,4608,16384
160,4608,16384
192,4608,16384
256,4608,16384
288,4608,16384 
384,4608,16384 
512,4608,16384 
640,4608,16384  
768,4608,16384 
1024,4608,16384
1152,4608,16384

1536,4608,16384
1600,4608,16384

2048,4608,16384
2880,4608,16384
3200,4608,16384
4096,4608,16384
8192,4608,16384
16384,4608,16384
32768,4608,16384

1,9216,16384
16,9216,16384
32,9216,16384
64,9216,16384
128,9216,16384
160,9216,16384
192,9216,16384
256,9216,16384
288,9216,16384 
384,9216,16384 
512,9216,16384 
640,9216,16384  
768,9216,16384 
1024,9216,16384
1152,9216,16384

1536,9216,16384
1600,9216,16384

2048,9216,16384
2880,9216,16384
3200,9216,16384
4096,9216,16384
8192,9216,16384
16384,9216,16384
32768,9216,16384

1,16384,2048
16,16384,2048
32,16384,2048
64,16384,2048
128,16384,2048
160,16384,2048
192,16384,2048
256,16384,2048
288,16384,2048 
384,16384,2048 
512,16384,2048 
640,16384,2048  
768,16384,2048 
1024,16384,2048
1152,16384,2048

1536,16384,2048
1600,16384,2048

2048,16384,2048
2880,16384,2048
3200,16384,2048
4096,16384,2048
8192,16384,2048
16384,16384,2048
32768,16384,2048

1,16384,4096
16,16384,4096
32,16384,4096
64,16384,4096
128,16384,4096
160,16384,4096
192,16384,4096
256,16384,4096
288,16384,4096 
384,16384,4096 
512,16384,4096 
640,16384,4096  
768,16384,4096 
1024,16384,4096
1152,16384,4096

1536,16384,4096
1600,16384,4096

2048,16384,4096
2880,16384,4096
3200,16384,4096
4096,16384,4096
8192,16384,4096
16384,16384,4096
32768,16384,4096

1,16384,8192
16,16384,8192
32,16384,8192
64,16384,8192
128,16384,8192
160,16384,8192
192,16384,8192
256,16384,8192
288,16384,8192 
384,16384,8192 
512,16384,8192 
640,16384,8192  
768,16384,8192 
1024,16384,8192
1152,16384,8192

1536,16384,8192
1600,16384,8192

2048,16384,8192
2880,16384,8192
3200,16384,8192
4096,16384,8192
8192,16384,8192
16384,16384,8192
32768,16384,8192

1,13312,16384
16,13312,16384
32,13312,16384
64,13312,16384
128,13312,16384
160,13312,16384
192,13312,16384
256,13312,16384
288,13312,16384 
384,13312,16384 
512,13312,16384 
640,13312,16384  
768,13312,16384
1024,13312,16384
1152,13312,16384

1536,13312,16384
1600,13312,16384

2048,13312,16384
2880,13312,16384
3200,13312,16384
4096,13312,16384
8192,13312,16384
16384,13312,16384
32768,13312,16384

1,26624,16384
16,26624,16384
32,26624,16384
64,26624,16384
128,26624,16384
160,26624,16384
192,26624,16384
256,26624,16384
288,26624,16384 
384,26624,16384
512,26624,16384 
640,26624,16384  
768,26624,16384 
1024,26624,16384
1152,26624,16384

1536,26624,16384
1600,26624,16384

2048,26624,16384
2880,26624,16384
3200,26624,16384
4096,26624,16384
8192,26624,16384
16384,26624,16384
32768,26624,16384

1,53248,16384
16,53248,16384
32,53248,16384
64,53248,16384
128,53248,16384
160,53248,16384
192,53248,16384
256,53248,16384
288,53248,16384
384,53248,16384
512,53248,16384
640,53248,16384
768,53248,16384
1024,53248,16384
1152,53248,16384

1536,53248,16384
1600,53248,16384

2048,53248,16384
2880,53248,16384
3200,53248,16384
4096,53248,16384
8192,53248,16384
16384,53248,16384
32768,53248,16384

1,16384,6656
16,16384,6656
32,16384,6656
64,16384,6656
128,16384,6656
160,16384,6656
192,16384,6656
256,16384,6656
288,16384,6656
384,16384,6656
512,16384,6656 
640,16384,6656  
768,16384,6656
1024,16384,6656
1152,16384,6656

1536,16384,6656
1600,16384,6656

2048,16384,6656
2880,16384,6656
3200,16384,6656
4096,16384,6656
8192,16384,6656
16384,16384,6656
32768,16384,6656

1,16384,13312
16,16384,13312
32,16384,13312
64,16384,13312
128,16384,13312
160,16384,13312
192,16384,13312
256,16384,13312
288,16384,13312
384,16384,13312
512,16384,13312
640,16384,13312 
768,16384,13312
1024,16384,13312
1152,16384,13312

1536,16384,13312
1600,16384,13312

2048,16384,13312
2880,16384,13312
3200,16384,13312
4096,16384,13312
8192,16384,13312
16384,16384,13312
32768,16384,13312

1,16384,26624
16,16384,26624
32,16384,26624
64,16384,26624
128,16384,26624
160,16384,26624
192,16384,26624
256,16384,26624
288,16384,26624
384,16384,26624
512,16384,26624
640,16384,26624 
768,16384,26624
1024,16384,26624
1152,16384,26624

1536,16384,26624
1600,16384,26624

2048,16384,26624
2880,16384,26624
3200,16384,26624
4096,16384,26624
8192,16384,26624
16384,16384,26624
32768,16384,26624
