gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,64,192,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2571,4,3.8278,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k4_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0065,6.57,143.39
gfx950,256,1,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5871,8,6.9848,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0219,3.0,3005.16
gfx950,256,16,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,8147,8,7.5374,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0204,44.52,2822.54
gfx950,256,32,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6407,8,8.7685,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.028,76.53,2460.82
gfx950,256,64,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,8567,4,11.5331,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0143,116.38,1923.5
gfx950,256,128,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,6,15.0329,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0179,178.57,1556.34
gfx950,256,256,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,4,18.8414,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0141,284.94,1370.45
gfx950,256,512,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,2,29.8384,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0061,359.85,1027.9
gfx950,256,1024,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,9,1,52.4555,_ZN5aiter37bf16gemm_fp32bf16_tn_96x64_pf3_splitkE,0.0,409.39,769.61
gfx950,256,2048,1280,8192,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,63.0195,native,0.0,681.53,948.42
