ground	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/ground.s	known-correct control
wait0_moved_keep_wait11	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/wait0_moved_keep_wait11.s	isolates moving wait0 while retaining original DS order and wait11
delete_wait11_full_wait0	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/delete_wait11_full_wait0.s	isolates deleting wait11 with a conservative full wait before KSL0
reorder_full_wait0	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/reorder_full_wait0.s	isolates reordered operand mapping and address dependencies with full DS completion
target_waitcnt0	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/target_waitcnt0.s	target reorder and KSL0 overlap with entry DScnt threshold 0
target_waitcnt4	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/target_waitcnt4.s	target reorder and KSL0 overlap with entry DScnt threshold 4
target_waitcnt8	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/target_waitcnt8.s	target reorder and KSL0 overlap with entry DScnt threshold 8
target_waitcnt12	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/target_waitcnt12.s	target reorder and KSL0 overlap with entry DScnt threshold 12
target_waitcnt16	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/target_waitcnt16.s	target reorder and KSL0 overlap with entry DScnt threshold 16
modefix_only	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/modefix_only.s	fixes the complete SIMM16 old-to-new mode chain but retains VM_VSRC(3)
vm1_only	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/vm1_only.s	changes downstream VM_VSRC(3) to VM_VSRC(1) but retains invalid mode resets
modefix_vm1_full	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/modefix_vm1_full.s	both fixes with a full A1-side DS wait before KSL0
modefix_vm1_wait0	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/modefix_vm1_wait0.s	both fixes with KSL0 overlap and entry DScnt threshold 0
modefix_vm1_wait4	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/modefix_vm1_wait4.s	both fixes with KSL0 overlap and entry DScnt threshold 4
modefix_vm1_wait8	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/modefix_vm1_wait8.s	both fixes with KSL0 overlap and entry DScnt threshold 8
modefix_vm1_wait12	/data/yanguahe/code/wk_sp1/aiter/my_code/b4_pipeline_debug_results/variants/modefix_vm1_wait12.s	both fixes with KSL0 overlap and entry DScnt threshold 12
